site_id,site_name,primary_provider,primary_ip,primary_bandwidth
GAA 26,GAA 26,Cox Business/BOI,72.212.183.137,300.0M x 30.0M
GAA 29,GAA 29,AT&T Broadband II,104.180.210.185,1000.0M x 1000.0M
GAA 31,GAA 31,Spectrum,47.46.148.246,600.0M x 35.0M
GAA 32,GAA 32,Comcast Workplace,96.91.136.237,300.0M x 30.0M
GAA 33,GAA 33,Comcast Workplace,96.73.212.193,250.0M x 25.0M
GAA 34,GAA 34,Comcast Workplace,96.89.79.69,600.0M x 35.0M
GAA 35,GAA 35,Comcast Workplace,50.248.240.73,600.0M x 35.0M
GAA 36,GAA 36,Comcast Workplace,96.94.172.105,300.0M x 30.0M
GAA 37,GAA 37,Comcast Workplace,173.160.71.21,250.0M x 25.0M
GAA 38,GAA 38,Cox Business/BOI,70.186.63.72,300.0M x 30.0M
GAA 39,GAA 39,Comcast Workplace,50.215.240.117,250.0M x 25.0M
GAA 40,GAA 40,Comcast Workplace,50.243.202.233,250.0M x 25.0M
GAA 41,GAA 41,Comcast Workplace,71.25.170.29,250.0M x 25.0M
GAA 42,GAA 42,Comcast Workplace,96.77.126.169,600.0M x 35.0M
GAA 43,GAA 43,Spectrum,96.38.224.146,940.0M x 35.0M
GAA 44,GAA 44,Comcast Workplace,173.160.65.217,250.0M x 25.0M
GAA 45,GAA 45,Mediacom/BOI,192.119.222.34,300.0M x 20.0M
GAA 46,GAA 46,AT&T Broadband II,99.14.165.1,2000.0M x 2000.0M
GAACALLCTR,GAACALLCTR,Spectrum,47.46.162.82,600.0M x 35.0M
GAE 01,GAE 01,Comcast Workplace,74.94.242.169,600.0M x 35.0M
GAE 02,GAE 02,Comcast Workplace,50.77.1.249,250.0M x 25.0M
